gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
SMM1,YNR015W,"Dihydrouridine synthase, member of a family of dihydrouridine synthases including Dus1p, Smm1p, Dus3p, and Dus4p; modifies uridine residues at position 20 of cytoplasmic tRNAs",RNA metabolism,TLS_00010864_S01 / TLS_00010865_S01,MATalpha,Open Biosystems / Open Biosystems,HTP125 / HTP125,non-responsive mutant,0,This study
SNT309,YPR101W,"Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; interacts physically and genetically with Prp19p",RNA metabolism,JBE_00009269_S01 / TLS_00009861_S01,MATalpha,Euroscarf / Euroscarf,HTP082 / HTP082,responsive mutant,96,This study
SQS1,YNL224C,Stimulates the ATPase and helicase activities of Prp43p; acts with Prp43p to stimulate 18s rRNA maturation by Nob1p; overexpression antagonizes the suppression of splicing defects by spp382 mutants; component of pre-ribosomal particles,RNA metabolism,TLS_00009629_S01,MATalpha,Open Biosystems,HTP075,non-responsive mutant,0,This study
SWT21,YNL187W,Protein involved in mRNA splicing; contains a consensus nuclear export signal (NES) sequence similar to the consensus sequence recognized by Crm1p; interacts genetically with Prp40p and Tgs1p; contains WD40 repeats,RNA metabolism,MBR_00011136_S01 / MBR_00011137_S01,MATalpha,Open Biosystems / Open Biosystems,HTP133 / HTP133,responsive mutant,21,This study
SYC1,YOR179C,"Subunit of the APT subcomplex of cleavage and polyadenylation factor, may have a role in 3' end formation of both polyadenylated and non-polyadenylated RNAs",RNA metabolism,TLS_00007619_S01 / TLS_00007620_S01,MATalpha,Open Biosystems / Open Biosystems,TLS042 / TLS042,responsive mutant,27,This study
SYF2,YGR129W,"Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; isy1 syf2 cells have defective spindles activiating cell cycle arrest",RNA metabolism,JBE_00008973_S01,MATalpha,Open Biosystems,HTP067,non-responsive mutant,0,This study
TAD1,YGL243W,"tRNA-specific adenosine deaminase, deaminates adenosine-37 to inosine in tRNA-Ala",RNA metabolism,JBE_00009458_S01,MATalpha,Open Biosystems,HTP068,non-responsive mutant,0,This study
TAN1,YGL232W,"Putative tRNA acetyltransferase, RNA-binding protein required for the formation of the modified nucleoside N(4)-acetylcytidine in serine and leucine tRNAs but not required for the same modification in 18S rRNA",RNA metabolism,JBE_00009080_S01,MATalpha,Open Biosystems,HTP074,non-responsive mutant,1,This study
TPA1,YER049W,"Poly(rA)-binding protein involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability; interacts with Sup45p (eRF1), Sup35p (eRF3) and Pab1p; similar to prolyl 4-hydroxylases; binds Fe(III) and 2-oxoglutarate",RNA metabolism,JBE_00008972_S01,MATalpha,Open Biosystems,HTP067,non-responsive mutant,0,This study
YGR122W,YGR122W,"Probable ortholog of A. nidulans PalC, which is involved in pH regulation and binds to the ESCRT-III complex; null mutant does not properly process Rim101p and has decreased resistance to rapamycin; GFP-fusion protein is cytoplasmic",RNA metabolism,TLS_00009781_S01 / JBE_00010438_S01,MATalpha,Open Biosystems / Open Biosystems,HTP099 / HTP099,responsive mutant,37,This study
YME2,YMR302C,Integral inner mitochondrial membrane protein with a role in maintaining mitochondrial nucleoid structure and number; mutants exhibit an increased rate of mitochondrial DNA escape; shows some sequence similarity to exonucleases,RNA metabolism,JBE_00009239_S01,MATalpha,Open Biosystems,HTP080,non-responsive mutant,0,This study
TUM1,YOR251C,"Rhodanese domain sulfur transferase, accepts persulfite from Nfs1p and transfers it to Uba4p in the pathway for 2-thiolation of the wobble uridine base of tRNAs; also stimulates sulfur transfer by Nfs1p; may be mitochondrially localized",RNA metabolism,JBE_00008911_S01 / JBE_00008910_S01,MATalpha,Open Biosystems / Open Biosystems,HTP032 / HTP032,non-responsive mutant,0,This study
ACK1,YDL203C,Protein that functions upstream of Pkc1p in the cell wall integrity pathway; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria,signal transduction cofactor,MT_00005942_S01 / MT_00005943_S01,MATalpha,Open Biosystems / Open Biosystems,MT002 / MT002,non-responsive mutant,0,This study
BCY1,YIL033C,"Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation",signal transduction cofactor,EA_00002541_S01 / EA_00002540_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA005 / EA005,responsive mutant,479,4
BIT61,YJL058C,"Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p-Slm1p-Slm2p), a membrane-associated complex that regulates cell cycle-dependent actin cytoskeletal dynamics during polarized growth and cell wall integrity",signal transduction cofactor,JBE_00008777_S01,MATalpha,Open Biosystems,HTP050,non-responsive mutant,0,This study
BUD6,YLR319C,Actin- and formin-interacting protein; stimulates actin cable nucleation by recruiting actin monomers to Bni1p; involved in polarized cell growth; isolated as bipolar budding mutant; potential Cdc28p substrate,signal transduction cofactor,JBE_00009457_S01,MATalpha,Open Biosystems,HTP068,non-responsive mutant,0,This study
SRV2,YNL138W,"CAP (cyclase-associated protein) subunit of adenylyl cyclase complex; N-terminus binds adenylyl cyclase and facilitates activation by RAS; C-terminus binds ADP-actin monomers, facilitating regulation of actin dynamics and cell morphogenesis",signal transduction cofactor,EA_00005297_S01 / EA_00005298_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA031 / EA031,responsive mutant,484,4
CNB1,YKL190W,"Calcineurin B; the regulatory subunit of calcineurin, a Ca++/calmodulin-regulated type 2B protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is encoded by CNA1 and/or CMP1",signal transduction cofactor,IC_00003471_S01 / IC_00003472_S01,MATalpha,Open Biosystems / Open Biosystems,IC020 / IC020,non-responsive mutant,1,This study
ERF2,YLR246W,"Subunit of a palmitoyltransferase, composed of Erf2p and Shr5p, that adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; mutants partially mislocalize Ras2p to the vacuole",signal transduction cofactor,EA_00004306_S01 / EA_00004307_S01,MATalpha,Euroscarf / Euroscarf,EA010 / EA010,responsive mutant,9,4
ERI1,YPL096C-A,Endoplasmic reticulum membrane protein that binds to and inhibits GTP-bound Ras2p at the ER; component of the GPI-GnT complex which catalyzes the first step in GPI-anchor biosynthesis; probable homolog of mammalian PIG-Y protein,signal transduction cofactor,EA_00003850_S01 / EA_00003851_S01,MATalpha,Open Biosystems / Open Biosystems,EA016 / EA016,non-responsive mutant,1,This study
GAL83,YER027C,"One of three possible beta-subunits of the Snf1 kinase complex, allows nuclear localization of the Snf1 kinase complex in the presence of a nonfermentable carbon source; contains glycogen-binding domain",signal transduction cofactor,EA_00005188_S01 / EA_00005187_S01,MATalpha,Euroscarf / Euroscarf,EA014 / EA014,non-responsive mutant,2,4
GIS4,YML006C,"CAAX box containing protein of unknown function, proposed to be involved in the RAS/cAMP signaling pathway",signal transduction cofactor,EA_00005255_S01 / EA_00005256_S01,MATalpha,Euroscarf / Euroscarf,EA012 / EA012,responsive mutant,19,This study
GPA2,YER020W,"Nucleotide binding alpha subunit of the heterotrimeric G protein that interacts with the receptor Gpr1p, has signaling role in response to nutrients; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery",signal transduction cofactor,SV_00002212_S01 / SV_00002211_S01,MATalpha,Euroscarf / Euroscarf,EA002 / EA002,responsive mutant,59,4
GPG1,YGL121C,Proposed gamma subunit of the heterotrimeric G protein that interacts with the receptor Gpr1p; involved in regulation of pseudohyphal growth; requires Gpb1p or Gpb2p to interact with Gpa2p; overproduction causes prion curing,signal transduction cofactor,EA_00004310_S01 / EA_00004311_S01,MATalpha,Euroscarf / Euroscarf,EA010 / EA010,responsive mutant,5,4
GPR1,YDL035C,"Plasma membrane G protein coupled receptor (GPCR) that interacts with the heterotrimeric G protein alpha subunit, Gpa2p, and with Plc1p; sensor that integrates nutritional signals with the modulation of cell fate via PKA and cAMP synthesis",signal transduction cofactor,SV_00002196_S01 / SV_00002195_S01,MATalpha,Euroscarf / Euroscarf,EA002 / EA002,responsive mutant,107,4
GSP2,YOR185C,"GTP binding protein (mammalian Ranp homolog) involved in the maintenance of nuclear organization, RNA processing and transport; interacts with Kap121p, Kap123p and Pdr6p (karyophilin betas); Gsp1p homolog that is not required for viability",signal transduction cofactor,JBE_00009453_S01,MATalpha,Open Biosystems,HTP068,non-responsive mutant,0,This study
IRA1,YBR140C,"GTPase-activating protein that negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, mediates membrane association of adenylate cyclase",signal transduction cofactor,EA_00004382_S01 / EA_00004381_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA028 / EA028,responsive mutant,107,4
IRA2,YOL081W,"GTPase-activating protein that negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, has similarity to Ira1p and human neurofibromin",signal transduction cofactor,EA_00007674_S01 / EA_00007675_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA040 / EA040,responsive mutant,276,4
GPB2,YAL056W,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication",signal transduction cofactor,EA_00004222_S01 / EA_00004223_S01,MATalpha,Euroscarf / Euroscarf,EA002 / EA002,responsive mutant,26,4
GPB1,YOR371C,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; promotes ubiquitin-dependent proteolysis of Ira2p; regulated by G-alpha protein Gpa2p; GPB1 has a paralog, GPB2, that arose from the whole genome duplication",signal transduction cofactor,SV_00002194_S01 / SV_00002193_S01,MATalpha,Euroscarf / Euroscarf,EA002 / EA002,responsive mutant,32,4
LEM3,YNL323W,"Membrane protein of the plasma membrane and ER, interacts specifically in vivo with the phospholipid translocase (flippase) Dnf1p; involved in translocation of phospholipids and alkylphosphocholine drugs across the plasma membrane",signal transduction cofactor,JBE_00010148_S01 / JBE_00010573_S01,MATalpha,Open Biosystems / Open Biosystems,HTP105 / HTP105,responsive mutant,20,This study
MDS3,YGL197W,"Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required, with Pmd1p, for growth under alkaline conditions; has an N-terminal kelch-like domain",signal transduction cofactor,TLS_00008104_S01 / TLS_00008105_S01,MATalpha,Open Biosystems / Open Biosystems,HTP006 / HTP006,responsive mutant,89,This study
MF(ALPHA)1,YPL187W,"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor",signal transduction cofactor,JBE_00009587_S01,MATalpha,Open Biosystems,HTP083,non-responsive mutant,1,This study
MF(ALPHA)2,YGL089C,"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed than MF(ALPHA)2",signal transduction cofactor,JBE_00009515_S01,MATalpha,Open Biosystems,HTP087,non-responsive mutant,0,This study
MKS1,YNL076W,Pleiotropic negative transcriptional regulator involved in Ras-CAMP and lysine biosynthetic pathways and nitrogen regulation; involved in retrograde (RTG) mitochondria-to-nucleus signaling,signal transduction cofactor,EA_00005245_S01 / EA_00005246_S01,MATalpha,Euroscarf / Euroscarf,EA007 / EA007,responsive mutant,42,This study
MTH1,YDR277C,"Negative regulator of the glucose-sensing signal transduction pathway, required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation",signal transduction cofactor,EA_00003846_S01 / EA_00003847_S01,MATalpha,Open Biosystems / Open Biosystems,EA016 / EA016,non-responsive mutant,1,4
NPR2,YEL062W,"Subunit of SEA (Seh1-associated), Npr2/3, and Iml1p complexes; Npr2/3 complex mediates downregulation of TORC1 activity upon amino acid limitation; SEA complex is a coatomer-related complex that associates dynamically with the vacuole; Iml1p complex (Iml1p-Npr2p-Npr3p) is required for non-nitrogen-starvation (NNS)-induced autophagy; Iml1p interacts primarily with phosphorylated Npr2p; homolog of human NPRL2; target of Grr1p; required for growth on urea and proline",signal transduction cofactor,TLS_00009613_S01 / JBE_00010106_S01,MATalpha,Open Biosystems / Open Biosystems,HTP084 / HTP084,responsive mutant,5,This study
PDE1,YGL248W,"Low-affinity cyclic AMP phosphodiesterase, controls glucose and intracellular acidification-induced cAMP signaling, target of the cAMP-protein kinase A (PKA) pathway; glucose induces transcription and inhibits translation",signal transduction cofactor,SV_00002187_S01 / SV_00002188_S01,MATalpha,Euroscarf / Euroscarf,EA001 / EA001,non-responsive mutant,2,4
PDE2,YOR360C,"High-affinity cyclic AMP phosphodiesterase, component of the cAMP-dependent protein kinase signaling system, protects the cell from extracellular cAMP, contains readthrough motif surrounding termination codon",signal transduction cofactor,EA_00002584_S01 / EA_00002585_S01,MATalpha,Euroscarf / Euroscarf,EA001 / EA001,responsive mutant,58,4
PIG1,YLR273C,Putative targeting subunit for the type-1 protein phosphatase Glc7p that tethers it to the Gsy2p glycogen synthase,signal transduction cofactor,EA_00003557_S01 / EA_00003558_S01,MATalpha,Open Biosystems / Open Biosystems,EA018 / EA018,non-responsive mutant,1,This study
PLC1,YPL268W,"Phospholipase C, hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the signaling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes",signal transduction cofactor,EA_00006629_S01 / EA_00006630_S01,MATalpha,Open Biosystems / Open Biosystems,EA036 / EA036,responsive mutant,216,This study
RAM1,YDL090C,Beta subunit of the CAAX farnesyltransferase (FTase) that prenylates the a-factor mating pheromone and Ras proteins; required for the membrane localization of Ras proteins and a-factor; homolog of the mammalian FTase beta subunit,signal transduction cofactor,EA_00005800_S01 / EA_00005799_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA034 / EA034,responsive mutant,745,4
RAS1,YOR101W,"GTPase involved in G-protein signaling in the adenylate cyclase activating pathway, plays a role in cell proliferation; localized to the plasma membrane; homolog of mammalian RAS proto-oncogenes",signal transduction cofactor,EA_00005183_S01 / EA_00005184_S01,MATalpha,Euroscarf / Euroscarf,EA003 / EA003,non-responsive mutant,0,4
RAS2,YNL098C,"GTP-binding protein that regulates the nitrogen starvation response, sporulation, and filamentous growth; farnesylation and palmitoylation required for activity and localization to plasma membrane; homolog of mammalian Ras proto-oncogenes",signal transduction cofactor,SV_00002189_S01 / SV_00002190_S01,MATalpha,Euroscarf / Euroscarf,EA001 / EA001,responsive mutant,14,4
RDI1,YDL135C,Rho GDP dissociation inhibitor involved in the localization and regulation of Cdc42p and Rho1p,signal transduction cofactor,JBE_00010128_S01,MATalpha,Open Biosystems,HTP105,non-responsive mutant,0,This study
REG1,YDR028C,"Regulatory subunit of type 1 protein phosphatase Glc7p, involved in negative regulation of glucose-repressible genes",signal transduction cofactor,EA_00004303_S01 / EA_00004302_S01,MATalpha,Euroscarf / Euroscarf,EA009 / EA009,responsive mutant,438,4
RGS2,YOR107W,Negative regulator of glucose-induced cAMP signaling; directly activates the GTPase activity of the heterotrimeric G protein alpha subunit Gpa2p,signal transduction cofactor,EA_00005181_S01 / EA_00005182_S01,MATalpha,Euroscarf / Euroscarf,EA003 / EA003,non-responsive mutant,1,4
ROM1,YGR070W,"GDP/GTP exchange protein (GEP) for Rho1p; mutations are synthetically lethal with mutations in rom2, which also encodes a GEP",signal transduction cofactor,MT_00005944_S01 / MT_00005945_S01,MATalpha,Open Biosystems / Open Biosystems,MT002 / MT002,non-responsive mutant,0,This study
RSF1,YMR030W,Protein required for respiratory growth; localized to both the nucleus and mitochondrion; may interact with transcription factors to mediate the transition to respiratory growth and activate transcription of nuclear and mitochondrial genes,signal transduction cofactor,JBE_00009527_S01,MATalpha,Open Biosystems,HTP096,non-responsive mutant,2,This study
RSR1,YGR152C,"GTP-binding protein of the ras superfamily required for bud site selection, morphological changes in response to mating pheromone, and efficient cell fusion; localized to the plasma membrane; significantly similar to mammalian Rap GTPases",signal transduction cofactor,TLS_00009615_S01,MATalpha,Open Biosystems,HTP084,non-responsive mutant,3,This study
RTS3,YGR161C,Putative component of the protein phosphatase type 2A complex,signal transduction cofactor,SV_00007013_S01 / SV_00007014_S01,MATalpha,Euroscarf / Euroscarf,SV079 / SV079,non-responsive mutant,0,This study
SAP155,YFR040W,"Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p",signal transduction cofactor,SV_00005858_S01 / SV_00005859_S01,MATalpha,Euroscarf / Euroscarf,SV071 / SV071,responsive mutant,29,This study
SAP185,YJL098W,"Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap190p",signal transduction cofactor,IC_00003467_S01 / IC_00003468_S01,MATalpha,Open Biosystems / Open Biosystems,IC020 / IC020,non-responsive mutant,2,This study
SAP190,YKR028W,"Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p",signal transduction cofactor,SV_00004316_S01 / SV_00004317_S01,MATalpha,Euroscarf / Euroscarf,IC019 / IC019,responsive mutant,13,This study
SAP4,YGL229C,"Protein required for function of the Sit4p protein phosphatase, member of a family of similar proteins that form complexes with Sit4p, including Sap155p, Sap185p, and Sap190p",signal transduction cofactor,TM_00003109_S01 / TM_00003110_S01,MATalpha,Euroscarf / Euroscarf,TM006 / TM006,non-responsive mutant,3,This study
SCP160,YJL080C,"Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins",signal transduction cofactor,JBE_00010188_S01,MATalpha,"Holstege lab, UMC Utrecht",HTP108,responsive mutant,6,This study
SDC25,YLL016W,Non-essential Ras guanine nucleotide exchange factor (GEF) localized to the membrane; expressed in poor nutrients and on non-fermentable carbon sources; homologous to CDC25; contains a stop codon in S288C; full-length gene includes YLL017W,signal transduction cofactor,EA_00005243_S01 / EA_00005244_S01,MATalpha,Open Biosystems / Open Biosystems,EA003 / EA003,non-responsive mutant,1,4
SHR5,YOL110W,"Subunit of a palmitoyltransferase, composed of Shr5p and Erf2p, that adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; palmitoylation is required for Ras2p membrane localization",signal transduction cofactor,EA_00007816_S01 / EA_00007817_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",EA038 / EA038,responsive mutant,13,4
SIP1,YDR422C,"Alternate beta-subunit of the Snf1p kinase complex, may confer substrate specificity; vacuolar protein containing KIS (Kinase-Interacting Sequence) and ASC (Association with Snf1 kinase Complex) domains involved in protein interactions",signal transduction cofactor,EA_00003868_S01 / EA_00003869_S01,MATalpha,Open Biosystems / Open Biosystems,EA023 / EA023,non-responsive mutant,0,4
SIP2,YGL208W,One of three beta subunits of the Snf1 serine/threonine protein kinase complex involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane,signal transduction cofactor,EA_00004091_S01 / EA_00004092_S01,MATalpha,Open Biosystems / Open Biosystems,EA025 / EA025,non-responsive mutant,3,4
SNF4,YGL115W,"Activating gamma subunit of the AMP-activated Snf1p kinase complex (contains Snf1p and a Sip1p/Sip2p/Gal83p family member); activates glucose-repressed genes, represses glucose-induced genes; role in sporulation, and peroxisome biogenesis",signal transduction cofactor,EA_00004314_S01 / EA_00004315_S01,MATalpha,Euroscarf / Euroscarf,EA010 / EA010,responsive mutant,11,4
SOK1,YDR006C,Protein whose overexpression suppresses the growth defect of mutants lacking protein kinase A activity; involved in cAMP-mediated signaling; localized to the nucleus; similar to the mouse testis-specific protein PBS13,signal transduction cofactor,EA_00004347_S01 / EA_00004348_S01,MATalpha,Open Biosystems / Open Biosystems,EA027 / EA027,non-responsive mutant,1,This study
SSK1,YLR006C,Cytoplasmic response regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate,signal transduction cofactor,JBE_00009006_S01 / TLS_00009681_S01,MATalpha,Open Biosystems / Open Biosystems,HTP056 / HTP056,responsive mutant,16,This study
STD1,YOR047C,"Protein involved in control of glucose-regulated gene expression; interacts with kinase Snf1p, glucose sensors Snf3p and Rgt2p, TATA-binding Spt15p; regulator of transcription factor Rgt1p; interactions with Pma1p appear to propagate [GAR+]",signal transduction cofactor,EA_00003860_S01 / EA_00003861_S01,MATalpha,Open Biosystems / Open Biosystems,EA021 / EA021,non-responsive mutant,3,4
STE5,YDR103W,"Pheromone-responsive MAPK scaffold protein; couples activation of the G-protein-coupled pheromone receptor to MAPK activation; intramolecular interaction of PH and VWA domains blocks activation of assembled signaling cascade components (Ste11p, Ste7p and Fus3p) under basal conditions; Gbeta-gamma (Ste4p-Ste18p)-dependent docking at the plasma membrane and binding of PI(4,5)P2 by the PH domain relieves autoinhibition, resulting in pheromone-dependent pathway activation",signal transduction cofactor,TLS_00002578_S01 / TLS_00002579_S01,MATalpha,Euroscarf / Euroscarf,TLS018 / TLS018,responsive mutant,33,This study
STM1,YLR150W,Protein required for optimal translation under nutrient stress; perturbs association of Yef3p with ribosomes; involved in TOR signaling; binds G4 quadruplex and purine motif triplex nucleic acid; helps maintain telomere structure,signal transduction cofactor,JBE_00009070_S01 / TLS_00009684_S01,MATalpha,Open Biosystems / Open Biosystems,HTP074 / HTP074,responsive mutant,4,This study
TCO89,YPL180W,"Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin",signal transduction cofactor,LPA_00001738_S01 / LPA_00001739_S01,MATalpha,Euroscarf / Euroscarf,LPA005 / LPA005,responsive mutant,107,4
TEP1,YNL128W,PTEN homolog with no demonstrated inositol lipid phosphatase activity; plays a role in normal sporulation; homolog of human tumor suppressor gene PTEN/MMAC1/TEP1 and fission yeast ptn1,signal transduction cofactor,SWA_00006080_S01 / SWA_00006081_S01,MATalpha,Euroscarf / Euroscarf,SEL01 / SEL01,non-responsive mutant,1,This study
TIP41,YPR040W,"Protein that interacts physically and genetically with Tap42p, which regulates protein phosphatase 2A; component of the TOR (target of rapamycin) signaling pathway",signal transduction cofactor,TLS_00009633_S01 / JBE_00010090_S01,MATalpha,Open Biosystems / Open Biosystems,HTP075 / HTP075,responsive mutant,6,This study
TUS1,YLR425W,Guanine nucleotide exchange factor (GEF) that modulate Rho1p activity; involved in the cell integrity signaling pathway; interacts with Rgl1p; localization of Tus1p to the bed neck is regulated by Rgl1p; multicopy suppressor of tor2 mutation and ypk1 ypk2 double mutation; potential Cdc28p substrate,signal transduction cofactor,DvL_00005652_S01 / DvL_00005651_S01,MATalpha,Open Biosystems / Open Biosystems,DL003 / DL003,non-responsive mutant,3,2
ACO1,YLR304C,"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy",small molecule metabolism,JBE_00010019_S01 / JBE_00010018_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP104 / HTP104,responsive mutant,438,This study
ACS1,YAL054C,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",small molecule metabolism,JBE_00008500_S01,MATalpha,Open Biosystems,HTP037,non-responsive mutant,0,This study
"ARG5,6",YER069W,"Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine",small molecule metabolism,TLS_00009614_S01,MATalpha,Open Biosystems,HTP084,non-responsive mutant,0,This study
ARG82,YDR173C,"Inositol polyphosphate multikinase (IPMK), sequentially phosphorylates Ins(1,4,5)P3 to form Ins(1,3,4,5,6)P5; also has diphosphoinositol polyphosphate synthase activity; regulates arginine-, phosphate-, and nitrogen-responsive genes",small molecule metabolism,JBE_00008701_S01 / TLS_00009865_S01,MATalpha,Open Biosystems / Open Biosystems,HTP017 / HTP085,responsive mutant,215,This study
ARO3,YDR035W,"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan",small molecule metabolism,JBE_00008275_S01,MATalpha,Open Biosystems,HTP043,non-responsive mutant,2,This study
BNA5,YLR231C,"Kynureninase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p",small molecule metabolism,MBR_00011784_S01 / MBR_00011785_S01,MATalpha,Open Biosystems / Open Biosystems,HTP144 / HTP144,non-responsive mutant,0,This study
CAR2,YLR438W,"L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive",small molecule metabolism,TLS_00008072_S01 / TLS_00008073_S01,MATalpha,Open Biosystems / Open Biosystems,HTP016 / HTP016,responsive mutant,21,This study
CHO2,YGR157W,"Phosphatidylethanolamine methyltransferase (PEMT), catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis",small molecule metabolism,TLS_00009876_S01 / JBE_00010253_S01,MATalpha,Open Biosystems / Open Biosystems,HTP100 / HTP100,responsive mutant,451,This study
CPD1,YGR247W,"Cyclic nucleotide phosphodiesterase, hydrolyzes ADP-ribose 1'', 2''-cyclic phosphate to ADP-ribose 1''-phosphate; may have a role in tRNA splicing; no detectable phenotype is conferred by null mutation or by overexpression",small molecule metabolism,JBE_00009462_S01,MATalpha,Open Biosystems,HTP069,non-responsive mutant,0,This study
CPT1,YNL130C,"Cholinephosphotransferase, required for phosphatidylcholine biosynthesis and for inositol-dependent regulation of EPT1 transcription",small molecule metabolism,JBE_00010439_S01,MATalpha,Open Biosystems,HTP101,non-responsive mutant,1,This study
DAK1,YML070W,"Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation",small molecule metabolism,JBE_00008272_S01,MATalpha,Open Biosystems,HTP043,non-responsive mutant,2,This study
ERG2,YMR202W,"C-8 sterol isomerase, catalyzes the isomerization of the delta-8 double bond to the delta-7 position at an intermediate step in ergosterol biosynthesis",small molecule metabolism,JBE_00009238_S01 / TLS_00009852_S01,MATalpha,Open Biosystems / Open Biosystems,HTP080 / HTP080,responsive mutant,91,This study
